Name,Type,Coeff,Unit,h2_dri_eaf,h2_dri,ng_dri_eaf,ng_dri,h2_eaf,ng_eaf
Dollar Year,all,-,-,2022,2022,2022,2022,2022,2022
EAF & Casting,capital,lin,$,352191.5240169347,0,348441.82271277584,0,352191.5240169347,348441.82271277584
Shaft Furnace,capital,lin,$,489.68060552073234,498.40115875154686,12706.355407489007,12706.355407489007,0,0
Reformer,capital,lin,$,0,0,12585.82456941159,12585.82456941159,0,0
Recycle Compressor,capital,lin,$,0,0,956.7744259199475,956.7744259199475,0,0
Oxygen Supply,capital,lin,$,1715.2150856112128,1364.5561234251575,1204.9890859895447,1024.5621894370765,393.8307342,201.31538578766632
H2 Pre-heating,capital,lin,$,45.691227892082026,45.691227892082026,0,0,0,0
Cooling Tower,capital,lin,$,2513.0831352600294,2349.1522627636514,1790.4037306002654,1774.645907832289,195.4502617348917,428.9072339379926
Piping,capital,lin,$,11815.727185704853,172.83401368816575,25651.75658705849,3917.3482323407948,49970.89662834815,51294.534191985025
Electrical & Instrumentation,capital,lin,$,7877.151460413984,115.2226758287706,17101.171070383836,2611.565490938924,33313.93113452436,34196.35613320044
"Buildings, Storage, Water Service",capital,lin,$,1097.8187596188552,630.5313008617601,1077.3955282629754,618.8012346570307,467.28745875705494,458.59429360591264
Other Miscellaneous Cost,capital,lin,$,7877.151460413984,115.2226758287706,17101.171070383836,2611.565490938924,33313.93113452436,34196.35613320044
EAF & Casting,capital,exp,-,0.45599999994205653,0,0.4559999998991786,0,0.45599999994205653,0.4559999998991786
Shaft Furnace,capital,exp,-,0.8874110806752252,0.8862693772994397,0.654083509,0.654083509,0,0
Reformer,capital,exp,-,0,0,0.650452363,0.650452363,0,0
Recycle Compressor,capital,exp,-,0,0,0.7100000000012116,0.7100000000012116,0,0
Oxygen Supply,capital,exp,-,0.6457441946722542,0.6342724916068068,0.6448555996459671,0.6370664161269166,0.6699999996017927,0.6699999991468184
H2 Pre-heating,capital,exp,-,0.865636585,0.865636585,0,0,0,0
Cooling Tower,capital,exp,-,0.6332532740097363,0.6286978709250893,0.6302820063981899,0.6308163319151892,0.6659797264431855,0.2599998698160116
Piping,capital,exp,-,0.5998309612457838,0.8331608480295282,0.5641056316548687,0.6551154484929348,0.4619607653395496,0.45807183935606577
Electrical & Instrumentation,capital,exp,-,0.5998309612151209,0.8331608479997339,0.5641056316058699,0.6551154484197805,0.4619607652382672,0.4580718393497419
"Buildings, Storage, Water Service",capital,exp,-,0.7999999998942408,0.8,0.7999999998654146,0.7999999999666235,0.7999999997752482,0.7999999997288545
Other Miscellaneous Cost,capital,exp,-,0.5998309612151209,0.8331608479997339,0.5641056316058699,0.6551154484197805,0.4619607652382672,0.4580718393497419
Preproduction,owner,lin,frac of TPC,0.02,0.02,0.02,0.02,0.02,0.02
Spare Parts,owner,lin,frac of TPC,0.005,0.005,0.005,0.005,0.005,0.005
"Initial Catalyst, Sorbent & Chemicals",owner,lin,frac of TPC,0,0,0.250835587,0.250835587,0,0.250835587
Land,owner,lin,frac of TPC,0.775,0.775,0.775,0.775,0.775,0.775
Other Owners's Costs,owner,lin,frac of TPC,0.15,0.15,0.15,0.15,0.15,0.15
Processing Steps,fixed opex,lin,-,29,29,29,29,0,0
% Skilled Labor,fixed opex,lin,%,35,35,35,35,0,0
% Unskilled Labor,fixed opex,lin,%,65,65,65,65,0,0
Annual Operating Labor Cost,fixed opex,lin,hr/day/step/(kg/day),4.42732,2.21366,4.42732,2.21366,0,0
Annual Operating Labor Cost,fixed opex,exp,-,0.25242,0.25242,0.25242,0.25242,0,0
Maintenance Labor Cost,fixed opex,lin,frac of TPC,0.00863,0.00637674,0.007877171,0.007877171,0.00225326,0.007877171
Administrative & Support Labor Cost,fixed opex,lin,frac of O&M labor,0.25,0.25,0.25,0.25,0,0
Property Tax & Insurance,fixed opex,lin,frac of TPC,0.02,0.02,0.02,0.02,0,0
Maintenance Materials,variable opex,lin,$/mtpy steel,7.72,2.394841843,8.82,3.72863263,5.325158157,5.09136737
