datetime,windspeed,generation_output_kw,waveheight
1/1/02 0:00,8.652,304.6986375,0
1/1/02 1:00,8.385,286.8083488,0
1/1/02 2:00,8.253,240.7118123,0
1/1/02 3:00,8.97,354.8385747,0
1/1/02 4:00,9.128,349.0169624,0
1/1/02 5:00,9.078,314.3581769,0
1/1/02 6:00,8.825,320.2622432,0
1/1/02 7:00,8.71,261.2447211,0
1/1/02 8:00,9.538,397.8523861,0
1/1/02 9:00,9.997,548.8517021,0
1/1/02 10:00,10.31,547.8585294,0
1/1/02 11:00,11.025,757.6016798,0
1/1/02 12:00,11.358,618.52538,0
1/1/02 13:00,12.048,542.3196893,0
1/1/02 14:00,12.802,524.9131079,0
1/1/02 15:00,13.238,902.7360494,0
1/1/02 16:00,13.825,760.4682091,0
1/1/02 17:00,14.89,646.3865329,0
1/1/02 18:00,14.978,653.7631605,0
1/1/02 19:00,15.325,651.3641573,0
1/1/02 20:00,14.395,611.1151231,0
1/1/02 21:00,13.518,634.8637503,0
1/1/02 22:00,13.135,646.3349044,0
1/1/02 23:00,12.6,647.4320828,0
1/2/02 0:00,11.928,627.4532422,0
1/2/02 1:00,11.54,603.1017424,0
1/2/02 2:00,11.298,535.9677134,0
1/2/02 3:00,10.397,500.3575141,0
1/2/02 4:00,11.708,613.3208029,0
1/2/02 5:00,12.055,626.6589358,0
1/2/02 6:00,12.215,603.0211865,0
1/2/02 7:00,11.958,628.3687879,0
1/2/02 8:00,11.66,625.8095121,0
1/2/02 9:00,11.792,757.782095,0
1/2/02 10:00,10.322,531.0461616,0
1/2/02 11:00,11.045,766.9536879,0
1/2/02 12:00,11.718,832.0332398,0
1/2/02 13:00,12.338,779.9266522,0
1/2/02 14:00,12.357,1014.991152,0
1/2/02 15:00,12.243,965.7503846,0
1/2/02 16:00,12.343,794.4295354,0
1/2/02 17:00,13.008,638.4188135,0
1/2/02 18:00,13.568,649.9222738,0
1/2/02 19:00,12.345,638.7659634,0
1/2/02 20:00,13.03,581.5055277,0
1/2/02 21:00,12.848,534.8291612,0
1/2/02 22:00,12.105,480.3685533,0
1/2/02 23:00,12.138,554.7176799,0
1/3/02 0:00,10.73,553.8208229,0
1/3/02 1:00,11.13,442.6533846,0
1/3/02 2:00,10.615,389.6905311,0
1/3/02 3:00,10.378,510.400265,0
1/3/02 4:00,10.188,497.3101631,0
1/3/02 5:00,9.862,385.5489962,0
1/3/02 6:00,9.645,426.9728004,0
1/3/02 7:00,9.782,428.6769359,0
1/3/02 8:00,9.78,784.1800793,0
1/3/02 9:00,9.14,734.5431423,0
1/3/02 10:00,8.815,678.4059555,0
1/3/02 11:00,8.08,609.3870515,0
1/3/02 12:00,7.288,552.9518042,0
1/3/02 13:00,7.248,543.3702021,0
1/3/02 14:00,6.655,492.8034322,0
1/3/02 15:00,6.722,504.2709628,0
1/3/02 16:00,6.905,324.8233351,0
1/3/02 17:00,7.45,174.133516,0
1/3/02 18:00,7.192,172.9711149,0
1/3/02 19:00,7.08,146.7316875,0
1/3/02 20:00,6.882,126.9442007,0
1/3/02 21:00,6.853,150.5864518,0
1/3/02 22:00,6.348,120.6723624,0
1/3/02 23:00,6.268,117.5633969,0
1/4/02 0:00,5.967,71.74174749,0
1/4/02 1:00,4.975,31.01044455,0
1/4/02 2:00,4.755,13.94404179,0
1/4/02 3:00,4.382,11.21067826,0
1/4/02 4:00,4.345,11.39301758,0
1/4/02 5:00,4.037,25.65116964,0
1/4/02 6:00,4.078,26.14031676,0
1/4/02 7:00,3.493,4.888758775,0
1/4/02 8:00,3.51,346.434833,0
1/4/02 9:00,3.215,373.1343284,0
1/4/02 10:00,3.46,375.9564333,0
1/4/02 11:00,4.198,383.4111392,0
1/4/02 12:00,4.728,395.5996663,0
1/4/02 13:00,5.038,402.7293614,0
1/4/02 14:00,5.542,418.3807756,0
1/4/02 15:00,5.64,422.1587326,0
1/4/02 16:00,6.005,275.7706222,0
1/4/02 17:00,5.877,84.32855638,0
1/4/02 18:00,5.49,66.30215437,0
1/4/02 19:00,4.548,30.45378475,0
1/4/02 20:00,4.205,12.58249779,0
1/4/02 21:00,4.652,42.5605424,0
1/4/02 22:00,6.308,120.2584803,0
1/4/02 23:00,6.698,144.2671672,0
1/5/02 0:00,6.365,122.2265117,0
1/5/02 1:00,6.03,106.0993985,0
1/5/02 2:00,5.48,77.05187201,0
1/5/02 3:00,6.382,117.4673291,0
1/5/02 4:00,7.882,231.7978686,0
1/5/02 5:00,9.91,458.0175247,0
1/5/02 6:00,12.407,414.1983195,0
1/5/02 7:00,13.428,416.3593911,0
1/5/02 8:00,13.928,799.9541616,0
1/5/02 9:00,13.72,810.460938,0
1/5/02 10:00,13.64,819.3175326,0
1/5/02 11:00,12.295,834.025765,0
1/5/02 12:00,9.39,494.7923879,0
1/5/02 13:00,8.348,620.5993847,0
1/5/02 14:00,8.31,499.863907,0
1/5/02 15:00,8.39,601.1913098,0
1/5/02 16:00,8.512,513.6852759,0
1/5/02 17:00,8.738,325.4507116,0
1/5/02 18:00,7.632,203.1678248,0
1/5/02 19:00,7.608,187.9281887,0
1/5/02 20:00,6.795,128.2776145,0
1/5/02 21:00,6.155,101.8370832,0
1/5/02 22:00,4.885,53.57001685,0
1/5/02 23:00,5.56,50.11635783,0
1/6/02 0:00,6.69,137.5979037,0
1/6/02 1:00,7.748,202.9514302,0
1/6/02 2:00,8.445,277.0987211,0
1/6/02 3:00,10.125,450.9621419,0
1/6/02 4:00,12.312,615.0337935,0
1/6/02 5:00,12.895,635.8565586,0
1/6/02 6:00,14.025,651.8560928,0
1/6/02 7:00,14.26,651.8719873,0
1/6/02 8:00,14.63,993.8576385,0
1/6/02 9:00,13.792,1024.49923,0
1/6/02 10:00,13.135,1023.132663,0
1/6/02 11:00,11.942,1001.167633,0
1/6/02 12:00,13.048,993.5831649,0
1/6/02 13:00,14.938,939.9255847,0
1/6/02 14:00,14.785,936.966133,0
1/6/02 15:00,14.705,660.3748241,0
1/6/02 16:00,15.357,661.364762,0
1/6/02 17:00,15.132,653.775,0
1/6/02 18:00,16.458,653.775,0
1/6/02 19:00,17.32,653.775,0
1/6/02 20:00,18.955,653.775,0
1/6/02 21:00,19.188,653.775,0
1/6/02 22:00,18.32,653.775,0
1/6/02 23:00,18.345,653.775,0
1/7/02 0:00,18.178,653.775,0
1/7/02 1:00,17.732,653.775,0
1/7/02 2:00,18.138,653.775,0
1/7/02 3:00,18.39,653.775,0
1/7/02 4:00,18.598,653.775,0
1/7/02 5:00,16.155,653.775,0
1/7/02 6:00,15.582,653.775,0
1/7/02 7:00,14.607,653.6393203,0
1/7/02 8:00,14.343,978.1357377,0
1/7/02 9:00,16.365,1026.909328,0
1/7/02 10:00,16.022,933.9193094,0
1/7/02 11:00,16.93,983.7385818,0
1/7/02 12:00,16.562,849.8616874,0
1/7/02 13:00,16.627,906.407154,0
1/7/02 14:00,17.162,914.4034907,0
1/7/02 15:00,18.44,772.0585492,0
1/7/02 16:00,18.672,657.7639287,0
1/7/02 17:00,19.72,653.775,0
1/7/02 18:00,21.13,653.775,0
1/7/02 19:00,21.24,653.775,0
1/7/02 20:00,21.9,653.775,0
1/7/02 21:00,21.268,653.775,0
1/7/02 22:00,20.062,653.775,0
1/7/02 23:00,19.79,653.775,0
1/8/02 0:00,19.065,653.775,0
1/8/02 1:00,19.947,653.775,0
1/8/02 2:00,18.645,653.775,0
1/8/02 3:00,18.393,653.775,0
1/8/02 4:00,17.97,653.775,0
1/8/02 5:00,17.292,653.775,0
1/8/02 6:00,17.845,653.775,0
1/8/02 7:00,17.68,653.775,0
1/8/02 8:00,17.94,655.0992348,0
1/8/02 9:00,17.78,670.3603318,0
1/8/02 10:00,17.783,680.1115354,0
1/8/02 11:00,16.535,755.5962867,0
1/8/02 12:00,16.385,681.6615697,0
1/8/02 13:00,15.955,686.292943,0
1/8/02 14:00,16.057,670.4656015,0
1/8/02 15:00,15.92,660.5065377,0
1/8/02 16:00,17.143,657.5040586,0
1/8/02 17:00,17.313,653.775,0
1/8/02 18:00,18.228,653.775,0
1/8/02 19:00,18.79,653.775,0
1/8/02 20:00,18.632,653.775,0
1/8/02 21:00,18.36,653.775,0
1/8/02 22:00,18.44,653.775,0
1/8/02 23:00,17.932,653.775,0
1/9/02 0:00,17.615,653.775,0
1/9/02 1:00,17.32,653.775,0
1/9/02 2:00,15.98,653.775,0
1/9/02 3:00,14.948,653.745815,0
1/9/02 4:00,15.157,653.775,0
1/9/02 5:00,14.228,652.9802663,0
1/9/02 6:00,13.622,651.1879516,0
1/9/02 7:00,12.258,639.8779479,0
1/9/02 8:00,11.668,936.7432409,0
1/9/02 9:00,11.88,996.3765699,0
1/9/02 10:00,10.975,937.2530281,0
1/9/02 11:00,10.392,889.574894,0
1/9/02 12:00,10.718,853.5531144,0
1/9/02 13:00,11.412,972.3469836,0
1/9/02 14:00,11.908,950.9082252,0
1/9/02 15:00,12.04,909.4579611,0
1/9/02 16:00,14.125,867.7173522,0
1/9/02 17:00,12.935,649.4406831,0
1/9/02 18:00,13.555,651.0335772,0
1/9/02 19:00,15.532,653.775,0
1/9/02 20:00,18.5,653.775,0
1/9/02 21:00,17.658,653.775,0
1/9/02 22:00,16.645,653.775,0
1/9/02 23:00,16.343,653.775,0
1/10/02 0:00,17.23,653.775,0
1/10/02 1:00,17.985,653.775,0
1/10/02 2:00,16.758,653.775,0
1/10/02 3:00,19.925,653.775,0
1/10/02 4:00,20.88,653.775,0
1/10/02 5:00,19.622,653.775,0
1/10/02 6:00,18.228,653.775,0
1/10/02 7:00,19.912,653.775,0
1/10/02 8:00,21.148,660.4472406,0
1/10/02 9:00,21.82,663.0080662,0
1/10/02 10:00,20.693,689.4594518,0
1/10/02 11:00,22.075,702.1991137,0
1/10/02 12:00,20.888,676.6489137,0
1/10/02 13:00,19.632,680.7096512,0
1/10/02 14:00,19.578,721.8634001,0
1/10/02 15:00,21.772,796.0546738,0
